Train: Epoch [33/100], Step [30/105]| loss: 0.0075
Train: Epoch [33/100], Step [60/105]| loss: 0.0079
Train: Epoch [33/100], Step [90/105]| loss: 0.0076
Train: Epoch [34/100], Step [30/105]| loss: 0.0065
Train: Epoch [34/100], Step [60/105]| loss: 0.0067
Train: Epoch [34/100], Step [90/105]| loss: 0.0071
Test: Epoch [34/100]| accuracy: 0.9286%
Train: Epoch [35/100], Step [30/105]| loss: 0.0066
Train: Epoch [35/100], Step [60/105]| loss: 0.0060
Train: Epoch [35/100], Step [90/105]| loss: 0.0056
Train: Epoch [36/100], Step [30/105]| loss: 0.0056
Train: Epoch [36/100], Step [60/105]| loss: 0.0054
Train: Epoch [36/100], Step [90/105]| loss: 0.0055
Test: Epoch [36/100]| accuracy: 0.9643%
Train: Epoch [37/100], Step [30/105]| loss: 0.0049
Train: Epoch [37/100], Step [60/105]| loss: 0.0049
Train: Epoch [37/100], Step [90/105]| loss: 0.0061
Train: Epoch [38/100], Step [30/105]| loss: 0.0049
Train: Epoch [38/100], Step [60/105]| loss: 0.0048
Train: Epoch [38/100], Step [90/105]| loss: 0.0042
Test: Epoch [38/100]| accuracy: 0.9464%
Train: Epoch [39/100], Step [30/105]| loss: 0.0050
Train: Epoch [39/100], Step [60/105]| loss: 0.0037
Train: Epoch [39/100], Step [90/105]| loss: 0.0041
Train: Epoch [40/100], Step [30/105]| loss: 0.0044
Train: Epoch [40/100], Step [60/105]| loss: 0.0039
Train: Epoch [40/100], Step [90/105]| loss: 0.0038
Test: Epoch [40/100]| accuracy: 0.9286%
Train: Epoch [41/100], Step [30/105]| loss: 0.0042
Train: Epoch [41/100], Step [60/105]| loss: 0.0037
Train: Epoch [41/100], Step [90/105]| loss: 0.0033
Train: Epoch [42/100], Step [30/105]| loss: 0.0038
Train: Epoch [42/100], Step [60/105]| loss: 0.0033
Train: Epoch [42/100], Step [90/105]| loss: 0.0032
Test: Epoch [42/100]| accuracy: 0.9107%
Train: Epoch [43/100], Step [30/105]| loss: 0.0037
Train: Epoch [43/100], Step [60/105]| loss: 0.0029
Train: Epoch [43/100], Step [90/105]| loss: 0.0032
Train: Epoch [44/100], Step [30/105]| loss: 0.0032
Train: Epoch [44/100], Step [60/105]| loss: 0.0028
Train: Epoch [44/100], Step [90/105]| loss: 0.0027
Test: Epoch [44/100]| accuracy: 0.9286%
